nohup: ignoring input
epoch 0 loss: 59132188.0
epoch 1 loss: 49467860.0
epoch 2 loss: 32152296.0
epoch 3 loss: 14066244.0
epoch 4 loss: 10674736.0
epoch 5 loss: 23744426.0
epoch 6 loss: 31637828.0
epoch 7 loss: 27298284.0
epoch 8 loss: 16069761.0
epoch 9 loss: 8502569.0
epoch 10 loss: 9470926.0
epoch 11 loss: 14089084.0
epoch 12 loss: 17195506.0
epoch 13 loss: 16965628.0
epoch 14 loss: 13751929.0
epoch 15 loss: 9155514.0
epoch 16 loss: 5515133.5
epoch 17 loss: 4629855.5
epoch 18 loss: 5924703.0
epoch 19 loss: 6955288.5
epoch 20 loss: 6170437.5
epoch 21 loss: 4290827.5
epoch 22 loss: 3071498.75
epoch 23 loss: 3110522.75
epoch 24 loss: 3683560.0
epoch 25 loss: 4077715.75
epoch 26 loss: 4066142.75
epoch 27 loss: 3719716.5
epoch 28 loss: 3256378.5
epoch 29 loss: 2898755.0
epoch 30 loss: 2718037.5
epoch 31 loss: 2596056.75
epoch 32 loss: 2377353.5
epoch 33 loss: 2048850.0
epoch 34 loss: 1741627.0
epoch 35 loss: 1593983.875
epoch 36 loss: 1640212.125
epoch 37 loss: 1794377.375
epoch 38 loss: 1912060.25
epoch 39 loss: 1887810.875
epoch 40 loss: 1718430.125
epoch 41 loss: 1482597.25
epoch 42 loss: 1273697.0
epoch 43 loss: 1148589.75
epoch 44 loss: 1110708.75
epoch 45 loss: 1120361.0
epoch 46 loss: 1123834.375
epoch 47 loss: 1087894.375
epoch 48 loss: 1018984.9375
epoch 49 loss: 952653.25
epoch 50 loss: 920676.0
epoch 51 loss: 922243.3125
epoch 52 loss: 923522.3125
epoch 53 loss: 889055.5
epoch 54 loss: 818027.1875
epoch 55 loss: 745478.875
epoch 56 loss: 706338.5625
epoch 57 loss: 704272.125
epoch 58 loss: 714572.9375
epoch 59 loss: 710043.8125
epoch 60 loss: 682425.1875
epoch 61 loss: 643581.5
epoch 62 loss: 610969.375
epoch 63 loss: 592852.8125
epoch 64 loss: 584541.375
epoch 65 loss: 575697.125
epoch 66 loss: 560426.5625
epoch 67 loss: 541433.875
epoch 68 loss: 525670.875
epoch 69 loss: 516668.125
epoch 70 loss: 511370.53125
epoch 71 loss: 504000.28125
epoch 72 loss: 492010.25
epoch 73 loss: 477911.125
epoch 74 loss: 466071.25
epoch 75 loss: 458563.75
epoch 76 loss: 453897.9375
epoch 77 loss: 448927.9375
epoch 78 loss: 441675.25
epoch 79 loss: 432630.4375
epoch 80 loss: 423853.90625
epoch 81 loss: 416958.71875
epoch 82 loss: 411840.34375
epoch 83 loss: 407056.21875
epoch 84 loss: 401358.1875
epoch 85 loss: 394773.78125
epoch 86 loss: 388348.40625
epoch 87 loss: 382997.90625
epoch 88 loss: 378660.28125
epoch 89 loss: 374460.21875
epoch 90 loss: 369598.0625
epoch 91 loss: 364058.03125
epoch 92 loss: 358550.25
epoch 93 loss: 353825.25
epoch 94 loss: 350044.9375
epoch 95 loss: 346715.90625
epoch 96 loss: 343181.0625
epoch 97 loss: 339179.15625
epoch 98 loss: 334944.75
epoch 99 loss: 330924.03125
epoch 100 loss: 327348.53125
epoch 101 loss: 324099.4375
epoch 102 loss: 320889.90625
epoch 103 loss: 317540.40625
epoch 104 loss: 314104.96875
epoch 105 loss: 310773.1875
epoch 106 loss: 307672.6875
epoch 107 loss: 304765.375
epoch 108 loss: 301909.5625
epoch 109 loss: 299002.875
epoch 110 loss: 296056.09375
epoch 111 loss: 293164.34375
epoch 112 loss: 290413.375
epoch 113 loss: 287797.9375
epoch 114 loss: 285251.03125
epoch 115 loss: 282706.78125
epoch 116 loss: 280156.15625
epoch 117 loss: 277639.40625
epoch 118 loss: 275198.53125
epoch 119 loss: 272844.1875
epoch 120 loss: 270556.1875
epoch 121 loss: 268301.09375
epoch 122 loss: 266073.0625
epoch 123 loss: 263877.375
epoch 124 loss: 261734.46875
epoch 125 loss: 259640.21875
epoch 126 loss: 257586.65625
epoch 127 loss: 255560.625
epoch 128 loss: 253559.359375
epoch 129 loss: 251594.03125
epoch 130 loss: 249674.484375
epoch 131 loss: 247799.0625
epoch 132 loss: 245959.84375
